id,classification
118246252675,colour
118248526857,colour
118248577928,colour
118249067082,colour
118249169744,colour
118249191442,colour
118249225351,symbol
118249251454,colour
118263511335,none
118264559669,colour
118267892739,none
118270946823,none
118297509148,none
118300652865,none
118302292087,none
118303344527,colour
118303345427,none
118303346413,none
118303348380,none
118303348608,colour
118303355620,colour
118303368417,none
118303378932,none
118303417099,none
118303428662,none
118303433687,none
118303454200,none
118303454522,colour
118303459660,none
118303488219,none
118303496344,none
118303511791,colour
118303712989,none
118303771647,none
118304161439,none
118304170782,none
118304174898,none
118304179643,none
118304335983,none
118305138758,none
118305139621,symbol
118305139768,symbol
118305143091,colour
118305143092,symbol
118305143676,none
118305143815,none
118305144285,none
118305145705,none
118305147172,none
118305148813,none
118305149706,colour
118305155839,symbol
118305163320,colour
118305170096,none
118305173273,colour
118305180447,none
118305181599,none
118305183955,colour
118305187716,colour
118305200396,none
118305202668,symbol
118305203818,colour
118305207407,none
118305226456,none
118305242383,none
118305255277,colour
118305270478,colour
118305369432,none
118305384690,none
118305396374,colour
118305455349,colour
118305545246,none
118305688588,colour
118305847535,colour
118306074232,none
118306093495,none
118306104434,none
118306117526,none
118306154638,none
118306184050,none
118306258728,colour
118306292390,colour
118306342007,colour
118306568786,none
118307148498,none
118308607939,none
118308618904,colour
118309638922,none
118310828804,none
118310848480,symbol
118310882271,none
118311876056,colour
118312594613,none
118314335807,colour
118314823881,colour
118317754684,none
118320370733,none
118325674575,none
118328614031,none
118328651355,none
118328651513,none
118328652299,colour
118328653718,none
118328657222,none
118329108685,none
118329505999,none
118331903786,none
118331956120,colour
118331973808,none
118333066099,symbol
118334261960,none
118334391101,none
118335200400,colour
118336960537,colour
118338868043,none
118339966824,colour
118339991268,none
118340035180,none
118340038205,colour
118340042120,colour
118340122822,none
118341052602,colour
118342245149,none
118342662124,symbol
118342676831,none
118342739603,none
118343038223,none
118349273154,none
118349352774,none
118349445762,colour
118350150336,none
118351175530,none
118351314678,symbol
118351333801,none
118352134458,none
118352154730,symbol
118353626025,none
